FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_744c,2100,Contenedor pilas Cl Alcalde Joaquin Quiles,,"CALLE ALCALDE JOAQUÍN QUILES, 13 ",POINT (-4.419971125247433 36.74958857043151),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.419971125247433,36.74958857043151
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_744d,2098,Contenedor pilas Cl Alcalde Nicolas Maroto 17,,"CALLE ALCALDE NICOLÁS MAROTO, 17 ",POINT (-4.41713314330197 36.749416681625554),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.41713314330197,36.749416681625554
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_744e,2171,Contenedor pilas Av Juan Sebastian Elcano 166,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 166 ",POINT (-4.362742877101605 36.72122120011003),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.362742877101605,36.72122120011003
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_744f,2093,Contenedor pilas Av Juan Sebastián Elcano 203,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 203 ",POINT (-4.360284274698229 36.72135907743138),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.360284274698229,36.72135907743138
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7450,2060,Contenedor pilas Av Juan Sebastian Elcano 123,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 123 ",POINT (-4.368117863686456 36.72246788273462),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.368117863686456,36.72246788273462
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7451,2057,Contenedor pilas Cl Cristo Epidemia,,"CALLE CRISTO DE LA EPIDEMIA, 50 ",POINT (-4.414651044675323 36.729537934377205),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.414651044675323,36.729537934377205
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7452,2065,Contenedor pilas Cl Eugenio Gross ,,"CALLE EUGENIO GROSS, 56 ",POINT (-4.434925790185015 36.726129151419755),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.434925790185015,36.726129151419755
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7453,2094,Contenedor pilas Ctra Almeria La Araña,,"CARRETERA DE ALMERÍA LA ARAÑA, 87 ",POINT (-4.322772923339936 36.713049563717824),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.322772923339936,36.713049563717824
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7454,2087,Contenedor pilas Pso Limonar,,"PASEO DEL LIMONAR, 21 ",POINT (-4.398640515984423 36.725928186735096),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.398640515984423,36.725928186735096
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7455,2059,Contenedor pilas Pso Cerrado de Calderon,,"PASEO CERRADO DE CALDERÓN, 11 ",POINT (-4.38158583758124 36.72561716967165),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.38158583758124,36.72561716967165
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7456,2061,Contenedor pilas Cl Eucaliptus,,"CALLE EUCALIPTUS, 5 ",POINT (-4.37101714665676 36.72837617774868),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.37101714665676,36.72837617774868
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7457,2091,Contenedor pilas Av Juan Sebastian Elcano 84,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 84 ",POINT (-4.373756442713649 36.72230224766637),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.373756442713649,36.72230224766637
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7458,2115,Contenedor pilas Cl Deva ,,"CALLE DEVA, 2 ",POINT (-4.431421913765547 36.737913821214846),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.431421913765547,36.737913821214846
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7459,2102,Contenedor pilas Av Jacinto Benavente,,"AVENIDA DE JACINTO BENAVENTE, 7 ",POINT (-4.424049030451827 36.74914085923775),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.424049030451827,36.74914085923775
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_745a,2084,Contenedor pilas Pl General Torrijos,,"PLAZA DEL GENERAL TORRIJOS, 2 ",POINT (-4.411900488593624 36.72042155066079),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.411900488593624,36.72042155066079
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_745b,2116,Contenedor pilas Av Jane Bowles 34,,"AVENIDA DE JANE BOWLES, 34 ",POINT (-4.427291478856079 36.75027636008707),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.427291478856079,36.75027636008707
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_745c,2099,Contenedor pilas Cl Alcalde Nicolas Maroto 18,,"CALLE ALCALDE NICOLÁS MAROTO, 18 ",POINT (-4.417489364784621 36.74924094849624),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.417489364784621,36.74924094849624
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_745d,2131,Contenedor pilas Cl Armengual de la Mota ,,"CALLE ARMENGUAL DE LA MOTA, 1 ",POINT (-4.429868616253869 36.71732748546784),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.429868616253869,36.71732748546784
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_745e,2129,Contenedor pilas Pl Rio Trabanco ,,"PLAZA DEL RÍO TRABANCO, 5 ",POINT (-4.446485059536588 36.70956661577841),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.446485059536588,36.70956661577841
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_745f,2107,Contenedor pilas Pje Aralar ,,"PASAJE ARALAR, 2 ",POINT (-4.437987356586618 36.72287642396917),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.437987356586618,36.72287642396917
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7460,2090,Contenedor pilas Av Juan Sebastian Elcano 7,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 7 ",POINT (-4.379756223039693 36.722041139025094),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.379756223039693,36.722041139025094
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7461,2117,Contenedor pilas Av Jane Bowles 2,,"AVENIDA DE JANE BOWLES, 2 ",POINT (-4.426406929103088 36.74347824069813),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.426406929103088,36.74347824069813
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7462,2050,Contenedor pilas Pl de la Marina,,"PLAZA DE LA MARINA, 1 ",POINT (-4.421070492486785 36.71836027828998),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.421070492486785,36.71836027828998
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7463,2155,Contenedor pilas Av Profesor Garcia Rodeja ,,"AVENIDA PROFESOR GARCÍA RODEJA, 67 ",POINT (-4.565881739651277 36.73287418396119),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.565881739651277,36.73287418396119
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7464,2154,Contenedor pilas Cl Jose Calderon ,,"CALLE JOSÉ CALDERÓN, 157 ",POINT (-4.544469833594649 36.727597766113746),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.544469833594649,36.727597766113746
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7465,2168,Contenedor pilas Cl Diego López De Zúñiga,,"CALLE DIEGO LÓPEZ DE ZÚÑIGA, 12 ",POINT (-4.468477141913161 36.72309378072351),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.468477141913161,36.72309378072351
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7466,2067,Contenedor pilas Cl Morales Villarubia,,"CALLE MORALES VILLARRUBIA, 25 ",POINT (-4.438947017608166 36.72615841306384),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.438947017608166,36.72615841306384
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7467,2136,Contenedor pilas Cl Ayala ,,"CALLE AYALA, 63 ",POINT (-4.436117184960127 36.7056925095955),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.436117184960127,36.7056925095955
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7468,2119,Contenedor pilas Cl Cuarteles ,,"CALLE CUARTELES, 66 ",POINT (-4.430157212974667 36.71218823436049),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.430157212974667,36.71218823436049
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7469,2137,Contenedor pilas Av de la Paloma ,,"AVENIDA DE LA PALOMA, 22 ",POINT (-4.441954638885212 36.70084036035384),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.441954638885212,36.70084036035384
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_746a,2158,Contenedor pilas Cl Ramírez Arcas,,"CALLE RAMÍREZ ARCAS, 2 ",POINT (-4.544865332316317 36.72773128727554),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.544865332316317,36.72773128727554
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_746b,2141,Contenedor pilas Av Moliere ,,"AVENIDA DE MOLIÈRE, 23 ",POINT (-4.453187363359282 36.6874980448097),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.453187363359282,36.6874980448097
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_746c,2166,Contenedor pilas Av Parmenides ,,"AVENIDA DE PARMÉNIDES, 13 ",POINT (-4.479869240776533 36.72192442964619),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.479869240776533,36.72192442964619
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_746d,2097,Contenedor pilas Cl Danvila Y Collado,,"CALLE DÁNVILA Y COLLADO, 4 ",POINT (-4.35826807221373 36.719531105504835),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.35826807221373,36.719531105504835
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_746e,2101,Contenedor pilas Av Santiago Ramon Y Cajal ,,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 43 ",POINT (-4.4232552311397555 36.743536124399036),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.4232552311397555,36.743536124399036
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_746f,2092,Contenedor pilas Cl Practicante Fernandez Alcolea,,"CALLE PRACTICANTE FERNÁNDEZ ALCOLEA, 11 ",POINT (-4.35747176263417 36.719792680816994),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.35747176263417,36.719792680816994
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7470,2083,Contenedor pilas Av Pries,,"AVENIDA DE PRÍES, 15 ",POINT (-4.405953609889279 36.72142758451036),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.405953609889279,36.72142758451036
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7471,2086,Contenedor pilas Av Pintor Joaquín Sorolla,,"AVENIDA DEL PINTOR JOAQUÍN SOROLLA, 10 ",POINT (-4.396231572407789 36.72334224969057),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.396231572407789,36.72334224969057
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7472,2104,Contenedor pilas Av Malaga Oloroso,,"AVENIDA MÁLAGA OLOROSO, 16 ",POINT (-4.417879495994991 36.74632912628365),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.417879495994991,36.74632912628365
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7473,2062,Contenedor pilas Cl Emilio Thuillier,,"CALLE EMILIO THUILLIER, 82 ",POINT (-4.4217590338064525 36.74594469329502),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.4217590338064525,36.74594469329502
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7474,2080,Contenedor pilas Cl Mefistofeles ,,"CALLE MEFISTÓFELES, 11 ",POINT (-4.4630949041391474 36.70998755245687),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.4630949041391474,36.70998755245687
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7475,2121,Contenedor pilas Pl de Manuel Azaña,,"PLAZA DE MANUEL AZAÑA, 3 ",POINT (-4.448641578831595 36.714393460794525),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.448641578831595,36.714393460794525
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7476,2048,Contenedor pilas Cl Ciprés ,,"CALLE DEL CIPRÉS, 29 ",POINT (-4.448918105432915 36.725177690530245),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.448918105432915,36.725177690530245
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7477,2072,Contenedor pilas Av Juan XXIII,,"AVENIDA DE JUAN XXIII, 74 ",POINT (-4.44639980966958 36.71233285633319),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.44639980966958,36.71233285633319
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7478,2110,Contenedor pilas Cmno San Alberto,,"CAMINO SAN ALBERTO, 1 ",POINT (-4.448667230299207 36.73052105925358),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.448667230299207,36.73052105925358
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7479,2181,Contenedor pilas Cl Francisco de Cossio ,,"CALLE DE FRANCISCO DE COSSÍO, 8 ",POINT (-4.444277093591198 36.691563743780804),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.444277093591198,36.691563743780804
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_747a,2144,Contenedor pilas Av Imperio Argentina,,"AVENIDA IMPERIO ARGENTINA, 8 ",POINT (-4.454963037061041 36.68252989179226),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.454963037061041,36.68252989179226
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_747b,2149,Contenedor pilas Cl Castelao ,,"CALLE CASTELAO, 8 ",POINT (-4.485849009796443 36.69243768267557),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.485849009796443,36.69243768267557
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_747c,2170,Contenedor pilas Cl Jaboneros,,"CALLE JABONEROS, 1 ",POINT (-4.429111598513753 36.72170528051584),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.429111598513753,36.72170528051584
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_747d,2175,Contenedor pilas Pso Martiricos,,"PASEO MARTIRICOS, 14 ",POINT (-4.426916791062508 36.72874091408618),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.426916791062508,36.72874091408618
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_747e,2126,Contenedor pilas Pl Pio XII,,"PLAZA DE PÍO XII, 2 ",POINT (-4.4436153118394115 36.71725585859224),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.4436153118394115,36.71725585859224
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_747f,2143,Contenedor pilas Cl Tomas Echeverria,,"CALLE TOMÁS ECHEVERRÍA, 2 ",POINT (-4.436168231881203 36.70456446224126),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.436168231881203,36.70456446224126
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7480,2122,Contenedor pilas Cmno de los Prados ,,"CAMINO DE LOS PRADOS, 18 ",POINT (-4.474333098926974 36.699039661126506),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.474333098926974,36.699039661126506
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7481,2157,Contenedor pilas Av Juan Lopez De Peñalver,,"AVENIDA DE JUAN LÓPEZ DE PEÑALVER, 19 ",POINT (-4.553534067704185 36.73678487792008),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.553534067704185,36.73678487792008
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7482,2148,Contenedor pilas Cmno Guadalmar A La Loma ,,"CAMINO GUADALMAR A LA LOMA, 5 ",POINT (-4.474746926893807 36.66752219519026),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.474746926893807,36.66752219519026
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_7483,2108,Contenedor pilas Cl Nuestra Señora De Los Clarines ,,"CALLE NUESTRA SEÑORA DE LOS CLARINES, 2 ",POINT (-4.4398055263751 36.7291719606025),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.4398055263751,36.7291719606025
