FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75ae,3311,Contenedor ropa Cl Alcalde Joaquín Quiles,,"CALLE ALCALDE JOAQUÍN QUILES, 13 ",POINT (-4.419971125247433 36.74958857043151),,,,,,MUNICIPAL,No,No,,-4.419971125247433,36.74958857043151
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75ad,3313,Contenedor ropa Cl Alcalde Nicolás Maroto,,"CALLE ALCALDE NICOLÁS MAROTO, 15 ",POINT (-4.417282408568765 36.74940546684332),,,,,,MUNICIPAL,No,No,,-4.417282408568765,36.74940546684332
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75ac,3278,Contenedor ropa Av Juan Sebastian Elcano 195,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 195 ",POINT (-4.361040069587318 36.72122905661963),,,,,,MUNICIPAL,No,No,,-4.361040069587318,36.72122905661963
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75ab,3380,Contenedor ropa Cl Jerez Perchet,,"CALLE JEREZ PERCHET, 9 ",POINT (-4.420808539688334 36.745843907232974),,,,,,MUNICIPAL,No,No,,-4.420808539688334,36.745843907232974
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75aa,3348,Contenedor ropa Cl Eugenio Gross 60,,"CALLE EUGENIO GROSS, 60 ",POINT (-4.434779115166818 36.72663656115456),,,,,,MUNICIPAL,No,No,,-4.434779115166818,36.72663656115456
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a9,3472,Contenedor ropa Pso Cerrado De Calderon,,"PASEO CERRADO DE CALDERÓN, 16 ",POINT (-4.381510355873153 36.72542540518252),,,,,,MUNICIPAL,No,No,,-4.381510355873153,36.72542540518252
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a8,3279,Contenedor ropa Av Juan Sebastian Elcano 4,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 4 ",POINT (-4.3800558505008444 36.72179486882908),,,,,,MUNICIPAL,No,No,,-4.3800558505008444,36.72179486882908
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a7,3381,Contenedor ropa Cl Joaquín Gaztambide,,"CALLE JOAQUÍN GAZTAMBIDE, 11 ",POINT (-4.425671806508698 36.74927125655817),,,,,,MUNICIPAL,No,No,,-4.425671806508698,36.74927125655817
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a6,3276,Contenedor ropa Av Juan Grande De,,"AVENIDA DE JUAN GRANDE, 12 ",POINT (-4.424549752705134 36.75433221075773),,,,,,MUNICIPAL,No,No,,-4.424549752705134,36.75433221075773
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a5,3463,Contenedor ropa Pl Jacques Cousteau,,"PLAZA DE JACQUES COUSTEAU, 2 ",POINT (-4.428806208558689 36.752335331402506),,,,,,MUNICIPAL,No,No,,-4.428806208558689,36.752335331402506
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a4,3318,Contenedor ropa Cl Armengual De La Mota 1,,"CALLE ARMENGUAL DE LA MOTA, 1 ",POINT (-4.429868616253869 36.71732748546784),,,,,,MUNICIPAL,No,No,,-4.429868616253869,36.71732748546784
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a3,3464,"Contenedor ropa Pl Jesus ""El Rico""",,"PLAZA DE JESÚS ""EL RICO"", 5 ",POINT (-4.41678521868318 36.72239395763774),,,,,,MUNICIPAL,No,No,,-4.41678521868318,36.72239395763774
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a2,3391,Contenedor ropa Cl Julio Verne,,"CALLE JULIO VERNE, 3 ",POINT (-4.467120935010422 36.730359477542805),,,,,,MUNICIPAL,No,No,,-4.467120935010422,36.730359477542805
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a1,3319,Contenedor ropa Cl Armengual De La Mota 29,,"CALLE ARMENGUAL DE LA MOTA, 29 ",POINT (-4.42925959953494 36.720258291848324),,,,,,MUNICIPAL,No,No,,-4.42925959953494,36.720258291848324
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-75a0,3356,Contenedor ropa Cl Francisco Pacheco,,"CALLE FRANCISCO PACHECO, 11 ",POINT (-4.447715569082748 36.69138326730605),,,,,,MUNICIPAL,No,No,,-4.447715569082748,36.69138326730605
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-759f,3283,Contenedor ropa Av Miraflores De Los Ángeles,,"AVENIDA DE MIRAFLORES DE LOS ÁNGELES, 17 ",POINT (-4.440229393592914 36.730552514486504),,,,,,MUNICIPAL,No,No,,-4.440229393592914,36.730552514486504
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-759e,3322,Contenedor ropa Cl Ayala,,"CALLE AYALA, 33 ",POINT (-4.432924756491429 36.70851135454555),,,,,,MUNICIPAL,No,No,,-4.432924756491429,36.70851135454555
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-759d,3387,Contenedor ropa Cl Juan Martínez Montañés,,"CALLE JUAN MARTÍNEZ MONTAÑÉS, 7 ",POINT (-4.457607323232198 36.6924965013881),,,,,,MUNICIPAL,No,No,,-4.457607323232198,36.6924965013881
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-759c,3375,Contenedor ropa Cl Honduras,,"CALLE HONDURAS, 16 ",POINT (-4.4358332396323865 36.719923136818565),,,,,,MUNICIPAL,No,No,,-4.4358332396323865,36.719923136818565
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-759b,3406,Contenedor ropa Cl Moraima,,"CALLE MORAIMA, 1 ",POINT (-4.438718149335409 36.726739491759034),,,,,,MUNICIPAL,No,No,,-4.438718149335409,36.726739491759034
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-759a,3330,Contenedor ropa Cl Compás De La Victoria,,"CALLE COMPÁS DE LA VICTORIA, 4 ",POINT (-4.4135328164765 36.727347618993214),,,,,,MUNICIPAL,No,No,,-4.4135328164765,36.727347618993214
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7599,3461,Contenedor ropa Pl Herbert Von Karajan,,"PLAZA DE HERBERT VON KARAJAN, 1 ",POINT (-4.4268006534494075 36.74308151474878),,,,,,MUNICIPAL,No,No,,-4.4268006534494075,36.74308151474878
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7598,3347,Contenedor ropa Cl Eugenio Gross 26,,"CALLE EUGENIO GROSS, 36 ",POINT (-4.43550731865128 36.724607360457206),,,,,,MUNICIPAL,No,No,,-4.43550731865128,36.724607360457206
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7597,3282,Contenedor ropa Av Manuel Gorría,,"AVENIDA DE MANUEL GORRÍA, 67 ",POINT (-4.417340354285724 36.736715686917776),,,,,,MUNICIPAL,No,No,,-4.417340354285724,36.736715686917776
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7596,3277,Contenedor ropa Av Juan Sebastián Elcano 147,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 147 ",POINT (-4.364582611851842 36.7220939275811),,,,,,MUNICIPAL,No,No,,-4.364582611851842,36.7220939275811
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7595,3454,Contenedor ropa Ctra Campanillas A Colmenarejo,,"CARRETERA DE CAMPANILLAS A COLMENAREJO, 3 ",POINT (-4.5338728418002 36.72666140532031),,,,,,MUNICIPAL,No,No,,-4.5338728418002,36.72666140532031
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7594,3382,Contenedor ropa Cl José Calderón,,"CALLE JOSÉ CALDERÓN, 161 ",POINT (-4.544592453896967 36.727677868516665),,,,,,MUNICIPAL,No,No,,-4.544592453896967,36.727677868516665
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7593,3298,Contenedor ropa Av Profesor Garcia Rodeja,,"AVENIDA PROFESOR GARCÍA RODEJA, 62 ",POINT (-4.565573239906452 36.73338186333889),,,,,,MUNICIPAL,No,No,,-4.565573239906452,36.73338186333889
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7592,3334,Contenedor ropa Cl Cristo De La Epidemia,,"CALLE CRISTO DE LA EPIDEMIA, 47 ",POINT (-4.414749357600416 36.72916996442684),,,,,,MUNICIPAL,No,No,,-4.414749357600416,36.72916996442684
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7591,3392,Contenedor ropa Cl Junco,,"CALLE JUNCO, 1 ",POINT (-4.489832684927579 36.74298817850058),,,,,,MUNICIPAL,No,No,,-4.489832684927579,36.74298817850058
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7590,3424,Contenedor ropa Cl Salitre,,"CALLE SALITRE, 8 ",POINT (-4.426796917727734 36.71430567560664),,,,,,MUNICIPAL,No,No,,-4.426796917727734,36.71430567560664
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-758f,3316,Contenedor ropa Cl Antonio Chacón,,"CALLE ANTONIO CHACÓN, 5 ",POINT (-4.447881599278527 36.69914707396993),,,,,,MUNICIPAL,No,No,,-4.447881599278527,36.69914707396993
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-758e,3335,Contenedor ropa Cl Cuarteles,,"CALLE CUARTELES, 49 ",POINT (-4.42961203515194 36.71216943283751),,,,,,MUNICIPAL,No,No,,-4.42961203515194,36.71216943283751
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-758d,3341,Contenedor ropa Cl Edison,,"CALLE EDISON, 4 ",POINT (-4.435334099248118 36.712199325092456),,,,,,MUNICIPAL,No,No,,-4.435334099248118,36.712199325092456
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-758c,3354,Contenedor ropa Cl Francisco Ferrer,,"CALLE FRANCISCO FERRER, 2 ",POINT (-4.437989815990419 36.72464327989383),,,,,,MUNICIPAL,No,No,,-4.437989815990419,36.72464327989383
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-758b,3254,Contenedor ropa Av Bonaire,,"AVENIDA DE BONAIRE, 5 ",POINT (-4.455143328958223 36.6950761764306),,,,,,MUNICIPAL,No,No,,-4.455143328958223,36.6950761764306
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-758a,3284,Contenedor ropa Av Moliere 1,,"AVENIDA DE MOLIÈRE, 1 ",POINT (-4.456372489232471 36.69060123364187),,,,,,MUNICIPAL,No,No,,-4.456372489232471,36.69060123364187
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7589,3332,Contenedor ropa Cl Corregidor Antonio De Bobadilla,,"CALLE CORREGIDOR ANTONIO DE BOBADILLA, 11 ",POINT (-4.4494414758308665 36.7122065268263),,,,,,MUNICIPAL,No,No,,-4.4494414758308665,36.7122065268263
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7588,3291,Contenedor ropa Av Paloma 23,,"AVENIDA DE LA PALOMA, 23 ",POINT (-4.442635293437354 36.70085631152271),,,,,,MUNICIPAL,No,No,,-4.442635293437354,36.70085631152271
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7587,3388,Contenedor ropa Cl Juan Sebastian Bach,,"CALLE JUAN SEBASTIÁN BACH, 1 ",POINT (-4.450584769624042 36.6954742958534),,,,,,MUNICIPAL,No,No,,-4.450584769624042,36.6954742958534
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7586,3285,Contenedor ropa Av Moliere 13,,"AVENIDA DE MOLIÈRE, 13 ",POINT (-4.4544401671146545 36.68866862475792),,,,,,MUNICIPAL,No,No,,-4.4544401671146545,36.68866862475792
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7585,3292,Contenedor ropa Av Paloma 39,,"AVENIDA DE LA PALOMA, 39 ",POINT (-4.444797152087533 36.70181855881216),,,,,,MUNICIPAL,No,No,,-4.444797152087533,36.70181855881216
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7584,3362,Contenedor ropa Cl Góngora,,"CALLE GÓNGORA, 22 ",POINT (-4.430417930868455 36.70975431251438),,,,,,MUNICIPAL,No,No,,-4.430417930868455,36.70975431251438
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7583,3439,Contenedor ropa Cl Virgen De La Estrella,,"CALLE VIRGEN DE LA ESTRELLA, 10 ",POINT (-4.4432927284008885 36.7163016957623),,,,,,MUNICIPAL,No,No,,-4.4432927284008885,36.7163016957623
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7582,3473,Contenedor ropa Pso Limonar,,"PASEO DEL LIMONAR, 23 ",POINT (-4.398681739493324 36.72628153170696),,,,,,MUNICIPAL,No,No,,-4.398681739493324,36.72628153170696
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7581,3272,Contenedor ropa Av Jane Bowles,,"AVENIDA DE JANE BOWLES, 16 ",POINT (-4.426183863975303 36.74654503269611),,,,,,MUNICIPAL,No,No,,-4.426183863975303,36.74654503269611
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7580,3303,Contenedor ropa Av Santiago Ramon Y Cajal,,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 65 ",POINT (-4.423063130479715 36.74483113991877),,,,,,MUNICIPAL,No,No,,-4.423063130479715,36.74483113991877
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-757f,3300,Contenedor ropa Av San Isidro,,"AVENIDA DE SAN ISIDRO, 1 ",POINT (-4.365384364325597 36.72612782992718),,,,,,MUNICIPAL,No,No,,-4.365384364325597,36.72612782992718
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-757e,3342,Contenedor ropa Cl Emilio Thuillier 108,,"CALLE EMILIO THUILLIER, 108 ",POINT (-4.4216294813859465 36.74715857260803),,,,,,MUNICIPAL,No,No,,-4.4216294813859465,36.74715857260803
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-757d,3320,Contenedor ropa Cl Arquitecto Eduardo Esteve,,"CALLE ARQUITECTO EDUARDO ESTEVE, 9 ",POINT (-4.362975576120259 36.7201196974177),,,,,,MUNICIPAL,No,No,,-4.362975576120259,36.7201196974177
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-757c,3343,Contenedor ropa Cl Emilio Thuillier 44,,"CALLE EMILIO THUILLIER, 44 ",POINT (-4.421965658977385 36.74424313614947),,,,,,MUNICIPAL,No,No,,-4.421965658977385,36.74424313614947
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-757b,3281,Contenedor ropa Av Malaga Oloroso,,"AVENIDA MÁLAGA OLOROSO, 36 ",POINT (-4.414736780157384 36.74526163151744),,,,,,MUNICIPAL,No,No,,-4.414736780157384,36.74526163151744
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-757a,3317,Contenedor ropa Cl Arbol Blanco,,"CALLE ÁRBOL BLANCO, 43 ",POINT (-4.501263243427406 36.66659458041343),,,,,,MUNICIPAL,No,No,,-4.501263243427406,36.66659458041343
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7579,3270,Contenedor ropa Av Imperio Argentina,,"AVENIDA IMPERIO ARGENTINA, 1 ",POINT (-4.458006159508425 36.6841411748497),,,,,,MUNICIPAL,No,No,,-4.458006159508425,36.6841411748497
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7578,3413,Contenedor ropa Cl Obsidiana,,"CALLE OBSIDIANA, 6 ",POINT (-4.456707458902093 36.71011606334617),,,,,,MUNICIPAL,No,No,,-4.456707458902093,36.71011606334617
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7577,3411,Contenedor ropa Cl Nuestra Señora De Los Clarines 8,,"CALLE NUESTRA SEÑORA DE LOS CLARINES, 8 ",POINT (-4.439462190022762 36.729798304939436),,,,,,MUNICIPAL,No,No,,-4.439462190022762,36.729798304939436
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7576,3423,Contenedor ropa Cl Rosa,,"CALLE ROSA, 1 ",POINT (-4.442483040785899 36.722742055537175),,,,,,MUNICIPAL,No,No,,-4.442483040785899,36.722742055537175
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7575,3386,Contenedor ropa Cl Juan De Valdés,,"CALLE JUAN DE VALDÉS, 16 ",POINT (-4.452661886040585 36.720099974204714),,,,,,MUNICIPAL,No,No,,-4.452661886040585,36.720099974204714
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7574,3412,Contenedor ropa Cl Nuestra Señora De Los Clarines 9,,"CALLE NUESTRA SEÑORA DE LOS CLARINES, 9 ",POINT (-4.43926463599276 36.73053531797618),,,,,,MUNICIPAL,No,No,,-4.43926463599276,36.73053531797618
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7573,3328,Contenedor ropa Cl Ciprés,,"CALLE DEL CIPRÉS, 3 ",POINT (-4.448279285989926 36.72317753838562),,,,,,MUNICIPAL,No,No,,-4.448279285989926,36.72317753838562
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7572,3410,Contenedor ropa Cl Nuestra Señora De Los Clarines 25,,"CALLE NUESTRA SEÑORA DE LOS CLARINES, 25 ",POINT (-4.437493500978206 36.731786191805455),,,,,,MUNICIPAL,No,No,,-4.437493500978206,36.731786191805455
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7571,3357,Contenedor ropa Cl Franz Kafka 13,,"CALLE FRANZ KAFKA, 13 ",POINT (-4.46453210599154 36.71602229184734),,,,,,MUNICIPAL,No,No,,-4.46453210599154,36.71602229184734
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7570,3358,Contenedor ropa Cl Franz Kafka 4,,"CALLE FRANZ KAFKA, 4 ",POINT (-4.462174380360349 36.71697083438378),,,,,,MUNICIPAL,No,No,,-4.462174380360349,36.71697083438378
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-756f,3246,Contenedor ropa Av Antonio Gaudí,,"AVENIDA DE ANTONIO GAUDÍ, 2 ",POINT (-4.456108791737215 36.697514409554365),,,,,,MUNICIPAL,No,No,,-4.456108791737215,36.697514409554365
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-756e,3385,Contenedor ropa Cl Juan De Ortega,,"CALLE DE JUAN DE ORTEGA, 22 ",POINT (-4.472989148723685 36.73079068666424),,,,,,MUNICIPAL,No,No,,-4.472989148723685,36.73079068666424
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-756d,3441,Contenedor ropa Cmno Casabermeja,,"CAMINO DE CASABERMEJA, 15 ",POINT (-4.424020873913802 36.75266396193248),,,,,,MUNICIPAL,No,No,,-4.424020873913802,36.75266396193248
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-756c,3425,Contenedor ropa Cl San Bartolome,,"CALLE SAN BARTOLOMÉ, 15 ",POINT (-4.422521619038931 36.727541004908964),,,,,,MUNICIPAL,No,No,,-4.422521619038931,36.727541004908964
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-756b,3331,Contenedor ropa Cl Córdoba,,"CALLE CÓRDOBA, 16 ",POINT (-4.4219062067113075 36.71572882773653),,,,,,MUNICIPAL,No,No,,-4.4219062067113075,36.71572882773653
